epoch,tr loss,tr acc,vloss,vacc,current lr,next lr,monitor,% improv,duration
1,13.217080116271973,0.5815507769584656,10.835060119628906,0.7124999761581421,0.0010000000474974513,0.0010000000474974513,accuracy,0.0,247.31897830963135
2,8.199697494506836,0.8854723572731018,7.196214199066162,0.7250000238418579,0.0010000000474974513,0.0010000000474974513,accuracy,52.260540670955436,227.98833680152893
3,5.356938362121582,0.958110511302948,4.904047966003418,0.737500011920929,0.0010000000474974513,0.0010000000474974513,val_loss,31.852390293776885,228.34180665016174
4,3.5177555084228516,0.9739304780960083,3.448927640914917,0.7250000238418579,0.0010000000474974513,0.0010000000474974513,val_loss,29.671820813660588,228.08000206947327
5,2.2981252670288086,0.9808377623558044,2.553598403930664,0.7124999761581421,0.0010000000474974513,0.0010000000474974513,val_loss,25.959641088519437,230.04834938049316
6,1.5260964632034302,0.9832887649536133,1.9274123907089233,0.7749999761581421,0.0010000000474974513,0.0010000000474974513,val_loss,24.521710706659068,228.27855014801025
7,1.0442992448806763,0.9872994422912598,1.5694783926010132,0.737500011920929,0.0010000000474974513,0.0010000000474974513,val_loss,18.570701310904106,228.0451955795288
8,0.7543014883995056,0.9872994422912598,1.3753025531768799,0.7875000238418579,0.0010000000474974513,0.0010000000474974513,val_loss,12.371998260029308,228.31826782226562
9,0.5931753516197205,0.9841800332069397,1.2859998941421509,0.737500011920929,0.0010000000474974513,0.0010000000474974513,val_loss,6.4933100595533935,228.6063632965088
10,0.49524596333503723,0.9866310358047485,1.22316575050354,0.75,0.0010000000474974513,0.0010000000474974513,val_loss,4.886014682024952,228.65455269813538
11,0.4301360845565796,0.9861853718757629,1.0943796634674072,0.762499988079071,0.0010000000474974513,0.0010000000474974513,val_loss,10.528915397043738,228.9394211769104
12,0.38500693440437317,0.9877451062202454,1.0616652965545654,0.762499988079071,0.0010000000474974513,0.0010000000474974513,val_loss,2.989306911021204,228.79296922683716
13,0.3580019772052765,0.9897504448890686,1.1329925060272217,0.737500011920929,0.0010000000474974513,0.0005000000237487257,val_loss,-6.718427144989599,228.24261283874512
14,0.3531598746776581,0.9922014474868774,1.0593180656433105,0.762499988079071,0.0005000000237487257,0.0005000000237487257,val_loss,0.221089539129929,228.34610295295715
15,0.3318915069103241,0.9910873174667358,1.0108140707015991,0.7875000238418579,0.0005000000237487257,0.0005000000237487257,val_loss,4.578794274810707,228.5576708316803
16,0.31206750869750977,0.9910873174667358,1.069931149482727,0.7749999761581421,0.0005000000237487257,0.0002500000118743628,val_loss,-5.8484621944464195,228.5756196975708
17,0.3134597837924957,0.9928698539733887,1.022249460220337,0.7875000238418579,0.0002500000118743628,0.0001250000059371814,val_loss,-1.1313049402646886,228.37191820144653
18,0.31101900339126587,0.9922014474868774,1.0374326705932617,0.7749999761581421,0.0001250000059371814,6.25000029685907e-05,val_loss,-2.6333824056472435,228.6223783493042
